10cc,"I'm Not In Love"
"Collective Soul",December
"Collective Soul","The World I Know"
Commodores,"Oh No"
Commodores,Still
Commodores,"Three Times A Lady"
"Connie Francis","Everybody's Somebody's Fool"
"Connie Francis",Frankie
"Connie Francis",Mama
"Corey Hart","Sunglasses At Night"
"Craig David","7 Days"
"Crash Test Dummies","Mmm Mmm Mmm Mmm"
"Crowded House","Don't Dream It's Over"
"Crowded House","Something So Strong"
"Crystal Gayle","Don't It Make My Brown Eyes Blue"
"Culture Club","Church Of The Poison Mind"
"Culture Club","Do You Really Want To Hurt Me"
"Culture Club","I'll Tumble 4 Ya"
"Cutting Crew","I've Been In Love Before"
"Cyndi Lauper","All Through The Night"
"Cyndi Lauper","SHE BOP"
"Cyndi Lauper","True Colors"
"Cypress Hill","Insane In The Brain"
"Céline Dion","Because You Loved Me"
"Céline Dion","If You Asked Me To"
"Céline Dion","My Heart Will Go On"
"Céline Dion","The Power Of Love"
DMX,"Party Up"
"Dan Fogelberg","Leader of The Band"
"Dan Fogelberg",Longer
"Daniel Powter","Bad Day"
"Das EFX","They Want EFX"
Daughtry,"Feels Like Tonight"
Daughtry,"Life After You"
Daughtry,"No Surprise"
"David Bowie","Let's Dance"
"David Cook","The Time Of My Life"
Dawn,Candida
"Dean Martin","Memories Are Made Of This"
Deee-Lite,"Groove Is In The Heart"
"Deep Blue Something","Breakfast At Tiffany's"
"Deep Purple","Smoke On The Water"
"Del Shannon","Hats Off To Larry"
"Del Shannon","Hats Off to Larry"
"Del Shannon","Keep Searchin'"
"Deniece Williams","Let's Hear It For The Boy"
"Depeche Mode","Enjoy The Silence"
"Depeche Mode","Enjoy the Silence"
"Destiny's Child",Bootylicious
"Destiny's Child","Say My Name"
"Diana Ross","Ain't No Mountain High Enough"
"Diana Ross","Touch Me In The Morning"
"Diana Ross","Upside Down"
"Dierks Bentley","What Was I Thinkin'"
"Dionne Warwick","Anyone Who Had a Heart"
"Dionne Warwick","Deja Vu"
"Dionne Warwick","This Girl's In Love With You"
"Dionne Warwick","Walk On By"
"Dire Straits","Walk Of Life"
Divinyls,"I Touch Myself"
"Dixie Chicks","Cowboy Take Me Away"
"Dixie Chicks","Long Time Gone"
"Dolly Parton","9 To 5"
"Dolly Parton","9 to 5"
"Don Gibson","Sea Of Heartbreak"
"Don Gibson","Sea of Heartbreak"
"Don Henley","All She Wants To Do Is Dance"
"Don McLean",Crying
"Donell Jones","U Know What's Up"
"Donell Jones","Where I Wanna Be"
"Donny Osmond","Puppy Love"
"Donny Osmond","Soldier Of Love"
"Doris Day","If I Give My Heart To You"
"Dr. Dre","Nuthin' But A ""G"" Thang"
"Dr. Hook","Better Love Next Time"
"Dusty Springfield","Wishin' And Hopin'"
EMF,Unbelievable
"Eagle-Eye Cherry","Save Tonight"
"Eartha Kitt","C'est Si Bon"
"Eddie Kendricks","Boogie Down"
"Eddie Money","Walk On Water"
"Eddie Rabbitt","Drivin' My Life Away"
"Eddy Grant","Electric Avenue"
"Edwin McCain","I'll Be"
"Edwin Starr","Twenty-Five Miles"
"Electric Light Orchestra","Can't Get It Out Of My Head"
"Electric Light Orchestra","SHINE A LITTLE LOVE"
"Electric Light Orchestra","Shine A Little Love"
"Electric Light Orchestra","Sweet Talking Woman"
"Elton John",Believe
"Elton John","Goodbye Yellow Brick Road"
"Elton John","I Guess That's Why They Call It The Blues"
"Elton John","Philadelphia Freedom"
"Elton John","Someone Saved My Life Tonight"
"Elvin Bishop","Fooled Around And Fell In Love"
"Elvis Presley","(Now And Then There's) A Fool Such As I"
"Elvis Presley","(You're The) Devil In Disguise"
"Elvis Presley","A Big Hunk O' Love"
"Elvis Presley","All shook up"
"Elvis Presley","Bossa Nova Baby"
"Elvis Presley","I Need Your Love Tonight"
"Elvis Presley","Love Me Tender"
"Elvis Presley","Loving You"
"Elvis Presley",Surrender
"Elvis Presley","Suspicious Minds"
Eminem,"When I'm Gone"
"En Vogue","Free Your Mind"
"Engelbert Humperdinck","After The Lovin'"
Enigma,"Return To Innocence"
"Enrique Iglesias","Be with You"
"Eric Burdon","Spill The Wine"
"Eric Carmen","All By Myself"
"Eric Clapton","Lay Down Sally"
"Eric Clapton","Tears In Heaven"
Eurythmics,"Here Comes The Rain Again"
Eurythmics,"Would I Lie To You?"
"Eve 6","Here's To The Night"
Everclear,Wonderful
"Everly Brothers","Let It Be Me"
"Everly Brothers","When Will I Be Loved"
"Fats Domino","Let The Four Winds Blow"
"Fats Domino","Walking To New Orleans"
"Ferlin Husky",Gone
"Ferlin Husky","Wings Of A Dove"
Filter,"Take A Picture"
"Fine Young Cannibals","Good Thing"
"Fine Young Cannibals","She Drives Me Crazy"
"Finger Eleven","One Thing"
"Finger Eleven",Paralyzer
Firehouse,"I Live My Life For You"
Foreigner,"Hot Blooded"
Foreigner,"I Want To Know What Love Is"
Foreigner,"Waiting For A Girl Like You"
Foxy,"Get Off"
"Frank Sinatra","Learnin' The Blues"
"Frank Sinatra","Young at heart"
"Frankie J","Don't Wanna Try"
"Frankie Laine","Cry Of The Wild Goose"
"Frankie Laine","I Believe"
"Freda Payne","Bring The Boys Home"
"Frijid Pink","House Of The Rising Sun"
"Gary Numan",Cars
"Gary U.S. Bonds","Dear Lady Twist"
"Gavin Rossdale","Love Remains The Same"
"Gene Pitney","The Man Who Shot Liberty Valance"
"Gene Pitney","Town Without Pity"
"Gene Vincent",Be-Bop-a-Lula
"George Michael","Father Figure"
"George Michael","Kissing A Fool"
"George Michael",Monkey
"George Michael","One More Try"
"George Michael","Too Funky"
"Georgia Satellites","Keep Your Hands To Yourself"
"Gerry Rafferty","Baker Street"
"Gilbert O'Sullivan",Clair
Ginuwine,Differences
Ginuwine,"In Those Jeans"
Ginuwine,Pony
Ginuwine,"So Anxious"
"Glen Campbell",Galveston
"Glen Campbell","Rhinestone Cowboy"
"Gloria Estefan","Here We Are"
"Go West","King Of Wishful Thinking"
"Go-Go's","Our Lips Are Sealed"
"Go-Go's","We Got The Beat"
"Golden Earring","Radar Love"
"Golden Earring","Twilight Zone"
"Gordon Lightfoot","If You Could Read My Mind"
"Gretchen Wilson","Redneck Woman"
"Guns N' Roses","November Rain"
"Guns N' Roses","Paradise City"
Haddaway,"What Is Love"
Hanson,"I WILL COME TO YOU"
Hanson,"I Will Come To You"
Hanson,MMMBOP
Heart,Alone
